label,run_id,total,emeralds,tomatoes,trades,params_json
v36_rand_06,v36-sweep-011,14365.0,7717.0,6648.0,695,"{""BASE_QUOTE_EDGE"": 2.2, ""BASE_TAKE_EDGE"": 1.0, ""CENTER_ALPHA_WEIGHT"": 0.34, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.04, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.06, ""REVERSION_ALPHA_WEIGHT"": 0.2, ""SOFT_LIMIT_BASE"": 0.5, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.12, ""SOFT_LIMIT_TREND_BONUS"": 0.16, ""SPREAD_TOXIC_COEF"": 0.7, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.26, ""TARGET_BUCKET_WEIGHT"": 0.06}"
v36_rand_23,v36-sweep-028,14309.0,7717.0,6592.0,697,"{""BASE_QUOTE_EDGE"": 2.3, ""BASE_TAKE_EDGE"": 1.0, ""CENTER_ALPHA_WEIGHT"": 0.32, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.08, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.03, ""REVERSION_ALPHA_WEIGHT"": 0.24, ""SOFT_LIMIT_BASE"": 0.46, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.16, ""SOFT_LIMIT_TREND_BONUS"": 0.12, ""SPREAD_TOXIC_COEF"": 0.86, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.26, ""TARGET_BUCKET_WEIGHT"": 0.06}"
v36_rand_01,v36-sweep-006,14289.0,7717.0,6572.0,694,"{""BASE_QUOTE_EDGE"": 2.2, ""BASE_TAKE_EDGE"": 0.95, ""CENTER_ALPHA_WEIGHT"": 0.34, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.08, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.03, ""REVERSION_ALPHA_WEIGHT"": 0.2, ""SOFT_LIMIT_BASE"": 0.54, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.16, ""SOFT_LIMIT_TREND_BONUS"": 0.12, ""SPREAD_TOXIC_COEF"": 0.86, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.14, ""TARGET_BUCKET_WEIGHT"": 0.14}"
v36_rand_34,v36-sweep-039,14287.0,7717.0,6570.0,691,"{""BASE_QUOTE_EDGE"": 2.4, ""BASE_TAKE_EDGE"": 1.05, ""CENTER_ALPHA_WEIGHT"": 0.32, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.12, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.06, ""REVERSION_ALPHA_WEIGHT"": 0.2, ""SOFT_LIMIT_BASE"": 0.54, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.12, ""SOFT_LIMIT_TREND_BONUS"": 0.14, ""SPREAD_TOXIC_COEF"": 0.86, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.14, ""TARGET_BUCKET_WEIGHT"": 0.06}"
v36_rand_09,v36-sweep-014,14279.0,7717.0,6562.0,696,"{""BASE_QUOTE_EDGE"": 2.2, ""BASE_TAKE_EDGE"": 1.0, ""CENTER_ALPHA_WEIGHT"": 0.36, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.12, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.09, ""REVERSION_ALPHA_WEIGHT"": 0.24, ""SOFT_LIMIT_BASE"": 0.46, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.16, ""SOFT_LIMIT_TREND_BONUS"": 0.12, ""SPREAD_TOXIC_COEF"": 0.86, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.26, ""TARGET_BUCKET_WEIGHT"": 0.1}"
v36_rand_32,v36-sweep-037,14277.0,7717.0,6560.0,697,"{""BASE_QUOTE_EDGE"": 2.4, ""BASE_TAKE_EDGE"": 1.0, ""CENTER_ALPHA_WEIGHT"": 0.36, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.08, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.09, ""REVERSION_ALPHA_WEIGHT"": 0.24, ""SOFT_LIMIT_BASE"": 0.46, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.14, ""SOFT_LIMIT_TREND_BONUS"": 0.12, ""SPREAD_TOXIC_COEF"": 0.86, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.26, ""TARGET_BUCKET_WEIGHT"": 0.06}"
v36_rand_08,v36-sweep-013,14273.0,7717.0,6556.0,697,"{""BASE_QUOTE_EDGE"": 2.2, ""BASE_TAKE_EDGE"": 1.0, ""CENTER_ALPHA_WEIGHT"": 0.36, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.04, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.03, ""REVERSION_ALPHA_WEIGHT"": 0.24, ""SOFT_LIMIT_BASE"": 0.46, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.16, ""SOFT_LIMIT_TREND_BONUS"": 0.12, ""SPREAD_TOXIC_COEF"": 0.86, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.26, ""TARGET_BUCKET_WEIGHT"": 0.06}"
v36_rand_02,v36-sweep-007,14270.0,7717.0,6553.0,697,"{""BASE_QUOTE_EDGE"": 2.2, ""BASE_TAKE_EDGE"": 0.95, ""CENTER_ALPHA_WEIGHT"": 0.36, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.08, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.09, ""REVERSION_ALPHA_WEIGHT"": 0.24, ""SOFT_LIMIT_BASE"": 0.46, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.12, ""SOFT_LIMIT_TREND_BONUS"": 0.12, ""SPREAD_TOXIC_COEF"": 0.78, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.14, ""TARGET_BUCKET_WEIGHT"": 0.06}"
v36_rand_30,v36-sweep-035,14266.0,7717.0,6549.0,695,"{""BASE_QUOTE_EDGE"": 2.4, ""BASE_TAKE_EDGE"": 0.95, ""CENTER_ALPHA_WEIGHT"": 0.32, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.04, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.03, ""REVERSION_ALPHA_WEIGHT"": 0.2, ""SOFT_LIMIT_BASE"": 0.5, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.14, ""SOFT_LIMIT_TREND_BONUS"": 0.12, ""SPREAD_TOXIC_COEF"": 0.78, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.14, ""TARGET_BUCKET_WEIGHT"": 0.1}"
v36_rand_17,v36-sweep-022,14234.0,7717.0,6517.0,695,"{""BASE_QUOTE_EDGE"": 2.3, ""BASE_TAKE_EDGE"": 0.95, ""CENTER_ALPHA_WEIGHT"": 0.32, ""PASSIVE_BUCKET_EDGE_WEIGHT"": 0.04, ""PASSIVE_BUCKET_MARKOUT_WEIGHT"": 0.03, ""REVERSION_ALPHA_WEIGHT"": 0.24, ""SOFT_LIMIT_BASE"": 0.46, ""SOFT_LIMIT_TOXIC_PENALTY"": 0.12, ""SOFT_LIMIT_TREND_BONUS"": 0.14, ""SPREAD_TOXIC_COEF"": 0.7, ""TAKER_BUCKET_EDGE_WEIGHT"": 0.14, ""TARGET_BUCKET_WEIGHT"": 0.06}"
