bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,EMERALDS_pnl,TOMATOES_pnl,EMERALDS_position,TOMATOES_position
Traderv51,bootstrap_balanced,bootstrap_balanced_001,-2,10503.0,516,bootstrap,318,0.832963,0.938478,0.089741,1,5443.0,5060.0,15,-2
Traderv51,bootstrap_balanced,bootstrap_balanced_002,-1,11434.0,594,bootstrap,385,0.81561,0.925686,0.028672,1,5960.0,5474.0,1,2
Traderv51,bootstrap_balanced,bootstrap_balanced_002,-2,10888.0,589,bootstrap,416,0.925688,0.831534,0.029268,1,5695.0,5193.0,9,11
Traderv51,bootstrap_balanced,bootstrap_balanced_003,-1,9048.5,608,bootstrap,187,0.841917,0.751778,0.091606,1,5173.0,3875.5,16,17
Traderv51,bootstrap_balanced,bootstrap_balanced_003,-2,11488.0,550,bootstrap,262,0.816291,0.863816,0.090904,1,5326.0,6162.0,10,7
Traderv51,bootstrap_stress,bootstrap_stress_001,-1,7523.0,503,bootstrap,214,0.639789,0.745847,0.11763,2,4091.0,3432.0,-4,18
Traderv51,bootstrap_stress,bootstrap_stress_001,-2,5842.0,413,bootstrap,145,0.561707,0.604027,0.169031,1,2466.0,3376.0,-12,-2
Traderv51,bootstrap_stress,bootstrap_stress_002,-1,9071.0,607,bootstrap,124,0.759653,0.78606,0.124888,2,4654.0,4417.0,-12,8
Traderv51,bootstrap_stress,bootstrap_stress_002,-2,8343.5,504,bootstrap,193,0.748709,0.76822,0.173733,2,4473.0,3870.5,27,39
Traderv51,bootstrap_stress,bootstrap_stress_003,-1,7891.0,553,bootstrap,101,0.6105,0.612918,0.188676,2,2938.0,4953.0,12,-9
Traderv51,bootstrap_stress,bootstrap_stress_003,-2,6260.0,482,bootstrap,99,0.630976,0.638153,0.08612,1,2792.0,3468.0,7,-7
