label,run_id,total,emeralds,tomatoes,trades,params_json
v40_state_14,v40-state-sweep-18,15428.0,7723.0,7705.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_31,v40-state-sweep-35,15428.0,7723.0,7705.0,681,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_40,v40-state-sweep-44,15428.0,7723.0,7705.0,681,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_24,v40-state-sweep-28,15417.0,7723.0,7694.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
v40_state_32,v40-state-sweep-36,15417.0,7723.0,7694.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
v40_state_37,v40-state-sweep-41,15417.0,7723.0,7694.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
v40_state_21,v40-state-sweep-25,15413.0,7723.0,7690.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_01,v40-state-sweep-05,15411.0,7723.0,7688.0,686,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
v40_state_06,v40-state-sweep-10,15404.0,7723.0,7681.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_07,v40-state-sweep-11,15404.0,7723.0,7681.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
