candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,TOMATOES.BASE_TAKE_EDGE,TOMATOES.BASE_QUOTE_EDGE,TOMATOES.ALPHA_EDGE_SCALE,TOMATOES.ALPHA_BLEND_WEIGHT,TOMATOES.REGIME_EWMA_ALPHA,TOMATOES.LEAN_SCORE,TOMATOES.STRONG_SCORE,TOMATOES.DEFENSIVE_VOL_THRESHOLD
v40_7-day1-baseline,-1,0,18927.346,15825.0,8102.0,15825.0,12.5308,62.653999999999996,0.7516267301,2.6470054123,1.3634015054,0.2658438089,0.2402714583,0.445547723,1.0628205438,3.3735488393
v40_7-day1-it00-cand00,0,1,18850.1535,15763.0,8040.0,15763.0,13.0893,65.4465,0.7611785631864592,2.614957596483324,1.3761867582993563,0.27545569385933016,0.24448519220329448,0.45331098874990094,1.05525611842919,3.424605381493069
v40_7-day1-it00-cand02,0,2,18827.446500000002,15746.0,8023.0,15746.0,13.5507,67.7535,0.759458385654812,2.6843324262935755,1.3784357921055974,0.2951802581745967,0.25008495016480203,0.43675943485210744,1.0389662087377836,3.4664092720018305
v40_7-day1-it00-cand06,0,3,18758.748,15685.0,7962.0,15685.0,12.6504,63.251999999999995,0.7607866883016754,2.6715340573412147,1.3765498587806908,0.27837665444895077,0.23297405644750452,0.4189824654686859,1.0609859492457765,3.389514910331482
v40_7-day1-it00-cand01,0,4,18728.995,15663.0,7940.0,15663.0,13.321,66.605,0.72,2.649341850859568,1.3455763469546402,0.24,0.23565648331526898,0.44133339155149987,1.068241631745751,3.3617544263821073
v40_7-day1-it00-cand07,0,5,18710.4725,15640.0,7917.0,15640.0,11.5055,57.527499999999996,0.7401693093429454,2.6360983438769963,1.3715454214428633,0.25217977444810113,0.2466388894856493,0.45142075622730404,1.0704630453053139,3.485768995285419
v40_7-day1-it00-cand04,0,6,18571.5845,15532.0,7809.0,15532.0,13.3631,66.8155,0.7529577043732195,2.612148538528347,1.3617750265387136,0.26783719406525053,0.23959455987112468,0.4433255521444195,1.0639637503144557,3.423590190358531
v40_7-day1-it00-cand03,0,7,18554.6315,15519.0,7796.0,15519.0,13.6337,68.1685,0.7228137655506208,2.608529322896447,1.3434877159288763,0.28136948002639517,0.23064835856459306,0.4585624748585409,1.0546522782333714,3.4256389224894237
v40_7-day1-it00-cand05,0,8,18512.5385,15478.0,7755.0,15478.0,12.2123,61.0615,0.7426658019606956,2.6916378952489177,1.3743354760499769,0.2685532626969495,0.23299374741480633,0.43619809723334196,1.0552835950155612,3.4397205195657774
v40_7-day1-it01-cand01,1,1,18901.9875,15806.0,8083.0,15806.0,13.0425,65.2125,0.7624250098104535,2.6364747437597678,1.3474920772723074,0.26608483782335307,0.23220514360534714,0.42682887318860135,1.0486944123082205,3.293184500789187
v40_7-day1-it01-cand00,1,2,18870.069,15779.0,8056.0,15779.0,12.9462,64.731,0.7503915098420412,2.662678101824219,1.36075494190166,0.2681252691020555,0.23941348292582987,0.4591706063005838,1.0573791003180621,3.4637252803837777
v40_7-day1-it01-cand07,1,3,18764.280000000002,15687.0,7964.0,15687.0,12.024,60.12,0.7622743410552499,2.6388382361657325,1.3713768310638907,0.2667688152704013,0.24847852190058678,0.41,1.0357529970213708,3.3316808601304455
