candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,BASE_TAKE_EDGE,BASE_QUOTE_EDGE,INVENTORY_SKEW,SOFT_LIMIT_RATIO,TREND_EDGE_THRESHOLD,TREND_IMBALANCE_THRESHOLD,TOXIC_SPREAD_THRESHOLD,GAMMA_RANGE,GAMMA_TREND,GAMMA_VOLATILE,RESERVATION_SCALE,ALPHA_EDGE_SCALE,ALPHA_IMBALANCE_SCALE,POSITION_BIAS_DIVISOR,TREND_FAIR_BONUS,TREND_ENTRY_TAKE_BONUS,TREND_HOLD_EXIT_BONUS,STRONG_TREND_HOLD_EXIT_BONUS,TREND_SELL_HOLD_EXTRA,TREND_BUY_TAKE_EXTRA,TREND_QUOTE_LIFT_EXTRA,HOLD_TIME_COEF
v29_4-cmaes-phase3-baseline,-1,0,31897.77025,29088.5,14197.5,14319.5,10.92595,54.62975,1.178002641956079,2.9164091467640345,0.03289229913595411,0.6357999831736845,1.2192171528276698,0.14151050420649708,15.102718870151854,0.35084701213636366,0.18,0.2565519775515484,0.150121529371951,1.0323468539018212,1.1571295249804827,13.297642557099739,0.23764162511241868,3.2475093338649113,0.5581506510344515,0.8160361784243344,0.24,0.08,1.0,0.08
v29_4-cmaes-phase3-it00-cand03,0,1,31767.38075,28980.0,14089.0,14214.0,11.08385,55.41925,1.2258877311228,3.1582706618068803,0.03302701440807071,0.6212519642664114,1.0491664920864132,0.1669835028689363,14.750805457134742,0.34410858746507567,0.16879448430265726,0.2816895076479752,0.1667501192303518,1.023485649795267,1.2586971007321373,13.640864263973802,0.12368515268759091,3.763194240882148,0.5210957435186656,0.7980096907445889,0.20015784987515328,0.09542550041899574,0.5730115302652394,0.08392364944415742
v29_4-cmaes-phase3-it00-cand00,0,2,31702.93125,28883.0,14024.0,14377.0,11.09375,55.46875,1.0922342486972603,2.4745111253364143,0.029325767462082774,0.5921791609937869,1.1987679116842092,0.15348152149205863,15.458992502248943,0.3657065063447943,0.16915980724017549,0.2,0.10747365715516544,1.0278432784794718,1.1504134645509234,12.285189030582192,0.17954787278102763,3.841304590119791,0.43690476157113456,0.8427707497261127,0.23811607568077545,0.08983304229402256,1.2934309550832572,0.057582629666013616
v29_4-cmaes-phase3-it00-cand01,0,3,31661.09875,28868.5,13977.5,14254.5,11.66025,58.301249999999996,1.2420975200227269,3.164003814861573,0.031618557479675666,0.6438504518500046,1.3655616745571426,0.13904750417389683,15.338455078078715,0.37308677214145647,0.15336800911675508,0.2,0.143677945956807,1.027571485167187,1.1290619641019723,14.134754158844435,0.21140085434095107,3.6596564855857348,0.7546268520620614,0.8341414842936307,0.25854557249725246,0.04313698380024158,1.1646971666192485,0.06955451320355996
v29_4-cmaes-phase3-it00-cand11,0,4,31601.302,28806.0,13915.0,14256.0,11.1796,55.898,1.0759114240291392,2.6661056419873073,0.03998830210831085,0.616165738071123,1.1644236293109758,0.1556745435581799,16.06809790877975,0.37415804137325576,0.1570007058891102,0.2833820080683356,0.1338317684110825,1.0464039341176994,1.1674914003286652,15.249972442841162,0.25268491199434095,3.9059247143341294,0.5692394639873296,0.883765240812353,0.3430576739222834,0.08018082912164726,0.9246204910551192,0.0887530601652619
v29_4-cmaes-phase3-it00-cand05,0,5,31596.87775,28805.5,13946.5,14254.5,11.90445,59.52225,1.1615058798415259,2.8624943207921523,0.03987808405572149,0.5678568320641229,1.1493492296917098,0.15513019075338225,14.630296254047641,0.244331365099701,0.18,0.22442431911964172,0.18829322450346567,1.053317134724234,1.236067800174425,15.364037374678254,0.22918333868471644,3.5365379015370557,0.64291652754936,1.053132383340413,0.22977722474387557,0.05480041143966467,0.9208634549816165,0.11637380665972238
v29_4-cmaes-phase3-it00-cand08,0,6,31574.4945,28769.5,13910.5,14303.5,11.1411,55.7055,1.2282516724646404,2.9646458586801567,0.030759867032205478,0.6166971678747188,1.1710747882455435,0.10078904472765238,15.597550779615897,0.382219780811747,0.18,0.3695036037364673,0.13754188628956895,1.0365713551319629,1.292965911019779,12.151308980946048,0.13864459604514853,4.031941215929111,0.4710911633423731,0.7611648905162266,0.2487952454367965,0.09622849347539592,0.9623025843949113,0.06608108559016806
v29_4-cmaes-phase3-it00-cand02,0,7,31547.41125,28736.5,13845.5,14357.0,12.09775,60.488749999999996,1.3787047582385403,3.1078754673443885,0.03518657916195555,0.7252012087654727,1.173781821906806,0.15857325642820655,15.275283777861492,0.31551790660017787,0.17695963841455292,0.294780469499182,0.13995582787904148,1.0261767443992624,1.1933927043535362,12.873303993748095,0.3105601362515109,2.8808970580990234,0.4889145640051737,0.8455546135620503,0.29101104873826167,0.15104092083109383,0.785662376710491,0.06971615495937901
v29_4-cmaes-phase3-it00-cand07,0,8,31544.206749999998,28759.5,13868.5,14220.5,11.87865,59.39325,1.2875924524391245,2.978709577596719,0.03333073889749958,0.636945889986604,1.2456717606348278,0.1603588693138518,14.862297471495282,0.3176554403307864,0.1742964974628929,0.2,0.14022416853987427,1.003960808890819,1.1509606169359603,12.770163197075737,0.2068878227681331,2.6788300220256973,0.5893459611888142,0.8881800335531407,0.1517272924224109,0.05269445963729466,0.8994184830200755,0.042148572789302084
v29_4-cmaes-phase3-it00-cand04,0,9,31518.95575,28732.5,13873.5,14226.5,11.76885,58.84425,1.2812117881870981,2.8771977990948,0.02866645009589193,0.5805527773735597,1.2484354940305085,0.16609312805912232,16.11723152222983,0.286640582339074,0.18,0.33278163209662837,0.14115343826006088,1.0945379490183422,1.2195724955831149,12.929308388986408,0.24404385493352496,2.0093320741993645,0.5286216165689424,0.6520195158155931,0.26844224627211316,0.04528615236917134,1.2929537789307093,0.08404803043787738
v29_4-cmaes-phase3-it00-cand10,0,10,31460.09625,28675.5,13784.5,14212.5,11.580749999999998,57.90374999999999,1.1276934579796194,2.3367556600908936,0.03558052343012506,0.6558439074154195,1.2826587592402845,0.17026966946524547,14.675142373326938,0.34576600771133525,0.16713417772617012,0.23905966159852904,0.15763055758099426,1.0485222167871513,1.2789596993555952,13.67482236805601,0.23538652182537337,3.2216567089560484,0.628860935201323,0.9290092850683149,0.18573415061890652,0.10000021409282867,1.3222880929422143,0.11811673242469678
v29_4-cmaes-phase3-it00-cand06,0,11,31311.982,28531.0,13672.0,14189.0,11.363600000000002,56.81800000000001,1.0608800550336803,2.9957150337908027,0.030590497075655067,0.6199805521919651,1.2498392149670214,0.12203804541163969,14.899687937239399,0.3778973213634489,0.1635450938562947,0.23087689625406962,0.12117312167398808,1.1384228577829474,1.2256364384394185,14.782663322146007,0.14919345746776824,2.65409177446921,0.4595732360212379,0.7665389623847322,0.19822388362711585,0.06544169550217462,0.6086927332435823,0.07057696908422223
v29_4-cmaes-phase3-it00-cand09,0,12,31088.1785,28342.5,13835.5,14014.5,11.444299999999998,57.22149999999999,1.0581963812090809,2.907836670256337,0.019381696121959426,0.5915642645955065,1.2645516776006598,0.14294698677434195,15.258115445659561,0.27049091138111164,0.18,0.2,0.14038119254773154,1.0081294695454777,1.0140892144726734,12.488361188474762,0.24119208014508528,2.3437384552468994,0.5110047664129027,0.8137565153437173,0.19188183975055703,0.06085486040435564,1.3872398885754198,0.10005510648850409
