candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,BASE_TAKE_EDGE,BASE_QUOTE_EDGE,INVENTORY_SKEW,SOFT_LIMIT_RATIO,TREND_EDGE_THRESHOLD,TREND_IMBALANCE_THRESHOLD,TOXIC_SPREAD_THRESHOLD,GAMMA_RANGE,GAMMA_TREND,GAMMA_VOLATILE,RESERVATION_SCALE,ALPHA_EDGE_SCALE,ALPHA_IMBALANCE_SCALE,POSITION_BIAS_DIVISOR
v29_4-cmaes-real-baseline,-1,0,31741.4735,28958.5,14067.5,14200.5,11.4253,57.1265,1.25,2.75,0.035,0.65,1.0,0.12,15.0,0.34,0.1,0.4,0.12,1.06,1.16,12.0
v29_4-cmaes-real-it00-cand06,0,1,31783.4735,28994.5,14103.5,14230.5,11.4253,57.1265,1.1543788397003678,2.8425530025139745,0.02475227672636575,0.6578472988883148,1.0860076218591825,0.11564318359230724,14.647845913328151,0.2847527941998753,0.10584366824056773,0.4737478715578758,0.16058050608311905,1.0118451776520327,1.1920056253622187,13.270494242418
v29_4-cmaes-real-it00-cand03,0,2,31735.073500000002,28950.5,14059.5,14208.5,11.4253,57.1265,1.3290546399772392,2.6559906188320395,0.045035105814123066,0.6925480712400787,1.0382380004333573,0.1647006127958941,14.77282334539568,0.37412550444341897,0.10690259630838553,0.34700634169572137,0.11695963841455291,1.0791142459738168,1.1193371940283618,11.794329683248039
v29_4-cmaes-real-it00-cand01,0,3,31610.967500000002,28793.5,13966.5,14368.5,11.246500000000001,56.2325,1.0757187430058268,2.9281385768764636,0.025906558290251232,0.6606938285207113,0.9962321513615509,0.12655536152934838,15.586861910166514,0.29516525933202725,0.11068247967777467,0.4825315560325128,0.11575419447907184,1.0660378515072402,1.277075617383578,11.876849998369988
v29_4-cmaes-real-it00-cand07,0,4,31585.861249999998,28780.5,13889.5,14306.5,11.187750000000001,55.938750000000006,1.1961914533286593,3.1231465706991264,0.039683222795197405,0.6352666332754668,1.0160055745527656,0.0787274246778151,14.815443534590568,0.27439333495650353,0.11137689850884527,0.3305723047383427,0.14343630231445675,1.0660720456568162,1.1490021585902979,11.7004731890451
v29_4-cmaes-real-it00-cand05,0,5,31568.3045,28775.5,13884.5,14255.5,11.6591,58.295500000000004,1.045939207110492,2.9792569879619526,0.030777039043794654,0.643261575328712,0.9439724215132862,0.1283791766988089,15.41571474646002,0.32818506119126106,0.12539189393791364,0.42059330241244375,0.06302176378758612,1.085784245350862,1.1229450924842141,11.819735123202545
v29_4-cmaes-real-it00-cand04,0,6,31561.4945,28762.5,13871.5,14273.5,11.1411,55.7055,1.3043947690595803,2.6736190585967043,0.045937776670863836,0.6255591816156075,0.9134548912134027,0.12590368702754318,15.510110487382617,0.4347212277747918,0.08285299013683928,0.3691484648781371,0.12798084819445352,1.100310252507141,1.1617962036282212,11.636299527318172
v29_4-cmaes-real-it00-cand08,0,7,31493.00675,28713.5,13822.5,14194.5,11.87865,59.39325,1.3897156983953476,2.4442558200069726,0.030807924611842407,0.6772393730937704,0.9055154767791573,0.06674217648166866,15.314604262356067,0.3185815610453956,0.13817169513151467,0.4419405616448256,0.13973456879848556,1.1219918445273556,1.1430834271445955,12.481714279453573
v29_4-cmaes-real-it00-cand00,0,8,31468.1045,28681.5,13822.5,14224.5,11.6591,58.295500000000004,1.1642316067411813,2.3081019785723798,0.031433468326128665,0.6063791778201024,0.9795507588565393,0.13197101728556154,15.35627363209709,0.35485949420843066,0.08915980724017548,0.3091668852158535,0.07735212778321443,1.0554964245776506,1.1532839395704406,10.987546473482453
v29_4-cmaes-real-it00-cand11,0,9,31445.5435,28666.5,13775.5,14193.5,11.9313,59.6565,1.3595898104830453,2.8123004308326847,0.035438439761545475,0.6511459068129195,1.026454607807158,0.1388483651073547,14.759578601343428,0.3068084281944228,0.09429649746289293,0.32601559087275733,0.11010263916792325,1.0316139549889978,1.1538310919554775,11.472520639975999
v29_4-cmaes-real-it00-cand10,0,10,31429.80575,28644.5,13753.5,14220.5,11.75885,58.794250000000005,1.1512705631377682,2.6729747561075636,0.026315477690611128,0.78,1.0856336418236698,0.14970041530092537,13.89439790444187,0.30043882937361993,0.0753556462466966,0.3703016703762387,0.10328955345084634,1.0454416955021746,1.0347816746379463,11.528848454211111
v29_4-cmaes-real-it00-cand09,0,11,31363.719250000002,28578.5,13687.5,14228.5,12.09615,60.48075,1.377148814772363,3.176773168848941,0.033773266969265074,0.6164005485862196,0.9683453819926465,0.15637380665972236,14.511989221156671,0.3576235304503929,0.09232732646566987,0.376270853527421,0.1261244124278703,1.0307913118077139,1.127515050734007,12.676257730677131
v29_4-cmaes-real-it00-cand02,0,12,31288.444,28500.0,13705.0,14224.0,11.2712,56.356,1.3065766899024467,2.8500789200229177,0.027010402735026535,0.5930648970163098,0.9677820829242799,0.11681642084357728,14.82457774450931,0.3734844640697879,0.0868796146142662,0.4412147151720824,0.16911905025690244,1.0654315917607888,1.1896729159956039,10.771232793341387
v29_4-cmaes-real-it01-cand09,1,1,31705.273500000003,28917.5,14090.5,14224.5,11.4253,57.1265,1.1732471224932635,2.7303959464912437,0.02269516194025805,0.6626920839250091,0.8978372531556964,0.09323437848213283,14.802052419493267,0.2704045627578213,0.11954797046877205,0.2730694993870041,0.1646684416712273,1.039767384591448,1.104902854048834,13.243055429453124
v29_4-cmaes-real-it01-cand06,1,2,31643.9685,28828.0,13937.0,14361.0,11.2463,56.2315,1.1366052838117338,2.860151181149968,0.03484024842446798,0.7204467315912091,1.0468421625820297,0.14636728411120672,15.023372439199717,0.35673197302018306,0.1360961865513858,0.4093234125837221,0.11895216316282863,1.0687413604573293,1.1645949984685982,11.715611152912974
v29_4-cmaes-real-it01-cand05,1,3,31612.4915,28794.5,13903.5,14367.5,11.101700000000001,55.508500000000005,1.1062740481721385,2.8932722436638767,0.04280842311029209,0.7188910128042867,0.9459804127504837,0.09241593089187539,15.498242933413,0.3103150854198889,0.0940898582622228,0.4522041459687291,0.1674241474763533,1.0731405484690852,1.084172020782633,12.562497796492899
v29_4-cmaes-real-it01-cand01,1,4,31605.81025,28811.0,13920.0,14275.0,12.037949999999999,60.18974999999999,1.3386595971059712,2.9129413669848323,0.037326258357775234,0.7181110491753748,0.9642133317543141,0.12562447121857823,15.732612232561458,0.28426936554942084,0.06306531134883431,0.4887954450182721,0.10186908423782882,1.0388410877274739,1.1795907936288474,12.648602993211549
v29_4-cmaes-real-it01-cand04,1,5,31580.00675,28791.5,13900.5,14239.5,11.87865,59.39325,1.2988739546332475,3.0222232045847406,0.02807422729074214,0.6508690913273957,0.9630369567014488,0.11624875870587809,15.131095409046047,0.3512440300694857,0.12742993814140194,0.4319891192545945,0.12427518039724986,1.054168392435553,1.230541487066814,13.189184341633458
v29_4-cmaes-real-it01-cand03,1,6,31574.524250000002,28783.5,13924.5,14249.5,11.77515,58.87575,1.0275772819121292,2.646507466751312,0.034560159462949706,0.6047174556013812,0.9674737633140971,0.12207648279246479,14.52261456220542,0.30446144356031724,0.12784986437266757,0.47019207776742733,0.1163958609784478,0.957855827296322,1.1991753337716429,12.612013730626199
v29_4-cmaes-real-it01-cand08,1,7,31565.298749999998,28784.5,13893.5,14195.5,11.66025,58.301249999999996,1.3294859316233312,2.8003760494557484,0.0403904327472905,0.6461283904925951,1.0693037958617317,0.09643504366523448,14.782665954822772,0.30860751881766846,0.07980320634740698,0.34755747436970796,0.17525571863563968,1.0415078464999492,1.1360177849761939,12.76130353453083
v29_4-cmaes-real-it01-cand10,1,8,31564.738999999998,28754.5,13895.5,14348.0,11.8722,59.361,1.3190175425584159,2.893800677930492,0.030464201069892703,0.6018529767219911,1.059595182110709,0.13873954880997752,14.848995480442323,0.35934199567925845,0.10650604132896556,0.3448297508867805,0.12915211383747602,1.019456392673822,1.2120974570356717,13.696107039189924
v29_4-cmaes-real-it01-cand02,1,9,31534.183999999997,28731.0,13904.0,14298.0,11.2832,56.416000000000004,1.2109355683052847,2.665456040843367,0.027090031698993294,0.6535259158833021,0.8308001511516119,0.0985893191424358,15.166524015912325,0.33267346304952916,0.10791538527975868,0.28627464947057973,0.14883918319603504,1.0154510479140468,1.131882346891927,11.410775649777912
