candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,TOMATOES.BASE_TAKE_EDGE,TOMATOES.BASE_QUOTE_EDGE,TOMATOES.SOFT_LIMIT_RATIO,TOMATOES.ALPHA_EDGE_SCALE,TOMATOES.ALPHA_BLEND_WEIGHT,TOMATOES.FAIR_ALPHA_WEIGHT,TOMATOES.RANGE_ALPHA_DAMP,TOMATOES.CONFLICT_ALPHA_DAMP,TOMATOES.POSITION_ALPHA_DAMP_START,TOMATOES.POSITION_ALPHA_DAMP_END,TOMATOES.REGIME_EWMA_ALPHA,TOMATOES.LEAN_SCORE,TOMATOES.STRONG_SCORE,TOMATOES.DEFENSIVE_VOL_THRESHOLD
v40_6-phase1-baseline,-1,0,34299.14275,31267.0,16376.0,15486.0,13.01145,65.05725,0.78,2.68,0.56828726,1.4153631,0.28,0.42,0.35,0.45,14.0,28.0,0.22,0.42,1.08,3.3
v40_6-phase1-it00-cand04,0,1,34525.20125,31473.5,16582.5,15590.5,13.27975,66.39875,0.7570851584858909,2.652732328942491,0.5764311760428632,1.3698163184936705,0.2959185779641233,0.43957677742434675,0.3703800040141703,0.5248134373236126,13.564184293050834,29.1697501598986,0.20627202662998914,0.41017124510576375,1.0629215298555763,3.440902252868999
v40_6-phase1-it00-cand06,0,2,34463.4525,31392.5,16501.5,15674.5,12.7895,63.947500000000005,0.811456244031501,2.783346988347811,0.5856388714422194,1.455027697257081,0.2338162800582641,0.4273154758773432,0.3564452380666131,0.5044380745094755,13.248151538126217,30.125613562314562,0.2807383264839141,0.4210283302479205,1.2073910691619272,3.448311632781259
v40_6-phase1-it00-cand02,0,3,34290.29275,31230.0,16339.0,15605.0,12.141449999999999,60.707249999999995,0.7559422506614827,2.7342281327439206,0.557396239244495,1.4587715026578527,0.282661948546439,0.3502862524566944,0.3467470422774275,0.4553156937740015,13.93231015711247,27.703710552589264,0.22228641302891133,0.45336090070568735,1.0381823353499129,3.567794897693506
v40_6-phase1-it00-cand05,0,4,34152.077000000005,31122.0,16231.0,15457.0,12.264600000000002,61.32300000000001,0.7768234190917425,2.750452349718411,0.58095492777182,1.396782395739322,0.24155861427715786,0.40395936617158623,0.311136329476037,0.3889474279995046,13.066341510247513,24.723573503455313,0.23263230667421964,0.44963144895557183,1.08266084392481,3.0557425861449508
v40_6-phase1-it00-cand08,0,5,34077.52575,31052.0,16161.0,15440.0,12.49485,62.47425,0.7879586630627782,2.6287344995210846,0.6146114457022452,1.364753966463236,0.2402117144044255,0.4375378054742362,0.3454531010834708,0.46426341752612305,14.745086773866609,27.56455687315316,0.22606436668383514,0.40604166374226136,1.1269736209111165,2.915190751094868
v40_6-phase1-it00-cand09,0,6,34062.625499999995,31028.0,16137.0,15491.0,12.7149,63.5745,0.726610008289415,2.61662718988261,0.536227651222849,1.4071625330445672,0.2580327734679364,0.37402158279793507,0.3214984246327653,0.4173366592151579,14.012496115119848,30.223157576551802,0.2449185499888747,0.42447952959244295,1.0722339770088434,3.4089672487040796
v40_6-phase1-it00-cand00,0,7,33906.7495,30887.5,15996.5,15411.0,12.5901,62.9505,0.7991036661729184,2.59988046045831,0.5810725128993564,1.4474027165311005,0.29053433475823626,0.44587755249966976,0.32982819901117305,0.48403769479537917,11.41454512944924,28.18691508476542,0.19326226233196045,0.34993274943125663,1.0530793125890692,3.2578566855149984
v40_6-phase1-it00-cand01,0,8,33611.29375,30631.0,15740.0,15241.0,13.58125,67.90625,0.7908421758915023,2.670171322568423,0.5787294674064161,1.5086806349839392,0.30255143005839635,0.49823053139892454,0.38271163954934007,0.4207057061736914,12.091653195022674,30.476278205382147,0.1623740709012415,0.3430478211928937,1.0103017368510674,3.4242053690111613
v40_6-phase1-it00-cand07,0,9,33522.450500000006,30534.5,15643.5,15251.5,12.469899999999999,62.34949999999999,0.7754598017084817,2.7083684786183557,0.5721361108147335,1.4055429219263265,0.241969911661927,0.420765871472785,0.29755102015254636,0.4647472294552488,13.656619792063431,26.483920564604702,0.19406531902538382,0.35746690457570235,0.9730418966750691,3.2942269519968144
v40_6-phase1-it00-cand03,0,10,33461.7555,30486.0,15595.0,15193.0,12.5689,62.8445,0.7964009559749654,2.6890315126564985,0.5561577418580105,1.376406325972258,0.26492610243112263,0.4641144535105183,0.37442655520446777,0.49905729008242994,14.788901202841455,29.33683685855475,0.20175649536876133,0.33144914156228633,1.0714385587469573,3.3319321420629633
v40_6-phase1-it01-cand06,1,1,34535.493,31463.0,16572.0,15690.0,13.1014,65.507,0.7757607376814536,2.5988692534490534,0.5938436974990051,1.4359577835911423,0.27987073435035914,0.3116518233935763,0.3570167840179554,0.4736071790003968,13.270527700611002,28.45178400398984,0.2646625507834214,0.42345318716655944,1.149317793996416,3.387029529460792
