candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,EMERALDS.REFERENCE_WEIGHT,EMERALDS.MID_WEIGHT,EMERALDS.INVENTORY_SKEW,EMERALDS.SOFT_LIMIT_RATIO,TOMATOES.INVENTORY_SKEW,TOMATOES.BASE_TAKE_EDGE,TOMATOES.BASE_QUOTE_EDGE,TOMATOES.SOFT_LIMIT_RATIO,TOMATOES.GAMMA_RANGE,TOMATOES.RESERVATION_SCALE,TOMATOES.SPREAD_INV_COEF,TOMATOES.SPREAD_TIME_COEF,TOMATOES.ALPHA_EDGE_SCALE,TOMATOES.ALPHA_IMBALANCE_SCALE,TOMATOES.RANGE_RESERVATION_BIAS,TOMATOES.REGRESSION_HORIZON
55717-cmaes-overall-baseline,-1,0,33468.48625,30481.5,16006.5,15229.5,11.78275,58.91375,0.8,0.2,0.12,0.25,0.005,0.8,2.75,0.56828726,0.69283327,0.02,1.1081637,1.7791177,1.4153631,0.7,0.26486122,0.5
55717-cmaes-overall-it00-cand00,0,1,-1368214.0695,-1243702.5,16329.5,-622256.0,12.0739,60.3695,0.8127357774486123,0.16795218418332397,0.12639262644967816,0.2628158466124403,0.005702288983882417,0.8388163287495047,2.6995704975279327,0.5938155310965343,0.5635605264724619,0.020934575423827102,1.0012127493278418,1.5163655103672125,1.3922882250763449,0.6719044570099989,0.2757033958915022,0.47641117416421475
55717-cmaes-overall-it00-cand04,0,2,-1368559.83425,-1243998.5,16145.5,-622484.0,12.906849999999999,64.53424999999999,0.7927364048841806,0.2146218769987325,0.11542400887666304,0.24508562255288188,0.004512043710159324,0.8704511264344997,2.739411396972475,0.6105586698310463,0.73083627331546,0.017027087318291504,0.9543981571086313,1.7189653231434485,1.3570675942140555,0.5778948559990091,0.2415197577561878,0.25426801275914845
55717-cmaes-overall-it00-cand06,0,3,-1368628.66775,-1244072.5,16071.5,-622468.0,12.513549999999999,62.56774999999999,0.8363974483319792,0.22471860546354316,0.11848660056949391,0.2613473914473422,0.005384885081473348,0.7882157863115917,2.62323303887309,0.5688616636045887,0.6141598002288196,0.022949445891049764,1.073825679206343,1.6369852529316906,1.3634937380507677,0.5749338091514047,0.2190220328607439,0.49422695199681466
55717-cmaes-overall-it00-cand03,0,4,-1368629.27575,-1244075.5,16068.5,-622463.0,12.23515,61.17575000000001,0.8122132776022339,0.22452864504121497,0.12657417669034546,0.2667104607319344,0.003783766357917423,0.6671737123434296,2.73776936963851,0.5762702955157408,0.6470035869717815,0.01563717263079851,1.1570271962571796,1.6424773554810113,1.4472002559282466,0.7391535548486935,0.28014622301062775,0.724440311970838
55717-cmaes-overall-it00-cand07,0,5,-1368690.6535,-1244144.0,15888.0,-622424.0,12.3707,61.8535,0.8053057753751854,0.17949379980843372,0.14316209285112264,0.22975634658529437,0.002347447626961698,0.8263067082113544,2.738632752708677,0.5789848231445922,0.7300876086933303,0.017822784365765797,1.1324211667353405,1.7267739390334802,1.4556262036380998,0.44346050072991205,0.21147122828941506,0.3479052557182635
55717-cmaes-overall-it00-cand02,0,6,-1368757.60325,-1244215.5,15816.5,-622397.0,12.54065,62.70325,0.8017746323642927,0.16514312622834726,0.11918676056935687,0.2526578468870007,0.00488718359518745,0.7888891457220975,2.757621376763038,0.5933079355292655,0.6569895574427824,0.037852993179567085,1.1737675238998613,1.8062122379694956,1.3789745455740317,0.6376691615556128,0.24978732243112262,0.6323433605315549
55717-cmaes-overall-it00-cand01,0,7,-1368868.8007500002,-1244303.0,15841.0,-622508.0,12.84015,64.20075,0.8104422074064161,0.23732701399357573,0.12751714335279876,0.2891152656994623,0.006635581977467003,0.7560585592605372,2.590971099585223,0.6147174763509152,0.577581411802483,0.005,0.9886809631732582,1.934374411263952,1.3672476013229653,0.7867650123902726,0.24852468886674256,0.6041801663788469
55717-cmaes-overall-it00-cand05,0,8,-1368943.6275,-1244393.5,15750.5,-622466.0,11.3855,56.9275,0.8084215377828131,0.21481572447778594,0.12038012056068714,0.20929043102415848,0.007097082935433394,0.9240163860173729,2.8367580572110973,0.5920860183542486,0.6004658301165281,0.021463095175468648,1.1274994141998393,1.9832604794105333,1.377770676906311,0.806280678115728,0.32559954648391415,0.5030849907437616
55717-cmaes-overall-it01-cand05,1,1,-1357633.524,-1234074.0,16150.0,-617484.0,12.5448,62.724000000000004,0.798702980951944,0.1999166780803473,0.11071975337066066,0.24907241540742864,0.004015476377133539,0.8169695952244788,2.68631290863789,0.5459125675043484,0.6126190249836617,0.015047369105574615,1.1326371467986311,1.684277610319948,1.4021006414663524,0.5589537720116411,0.2561278746700451,0.46733726895118777
55717-cmaes-overall-it01-cand06,1,2,-1368159.86075,-1243648.5,16383.5,-622246.0,12.43215,62.16075,0.8021556711383308,0.15868114752731416,0.13235438249981848,0.2604044947068633,0.0052441246207161,0.6719783319392221,2.742958304653452,0.5819435047031303,0.6300706639996301,0.020581342630437753,1.1975825014975587,1.7231261253185413,1.4456956923217033,0.6997452058515384,0.2784672833169518,0.4107672106483452
55717-cmaes-overall-it01-cand02,1,3,-1368519.0645,-1243974.5,16169.5,-622388.0,13.392900000000001,66.9645,0.8248774315455866,0.1811701785051375,0.12282518839955886,0.22179489587331244,0.001,0.8821975517531668,2.818553582802572,0.5860062780034593,0.5360598647511842,0.009865328306426132,0.9567796514099492,1.6875253778169699,1.2913210346220318,0.6204829886845904,0.27394259596883413,0.7771375071863735
55717-cmaes-overall-it01-cand01,1,4,-1368577.3847500002,-1244017.0,16127.0,-622483.0,12.75695,63.78475,0.8134876569807497,0.21201533090369498,0.12051556469788001,0.29391723979277967,0.005365979556617928,0.7926305272964259,2.7756576979721976,0.5821752091154718,0.7084252007935873,0.01182477700865898,1.0593964538976681,1.6056503465345136,1.4309434158891334,0.7688993086034931,0.2713658349244391,0.628289035386807
55717-cmaes-overall-it01-cand00,1,5,-1368656.77575,-1244101.0,15931.0,-622471.0,12.31515,61.57575,0.7745877189479364,0.19247307649413303,0.11454385647777132,0.23376615559228256,0.003963125811138883,0.7744058429838246,2.734024050556216,0.6122329981102366,0.7201913395605539,0.020733540610469628,1.0583045133436408,1.833234626413679,1.367710434309271,0.7285075701902831,0.2543580208178195,0.5605108034022948
55717-cmaes-overall-it01-cand07,1,6,-1368694.4675,-1244179.5,15852.5,-622299.0,11.0335,55.167500000000004,0.8135082045091595,0.1842721924668714,0.10862014301438067,0.2454326547303669,0.007972082824273712,0.9427372509513645,2.7892474095025515,0.5839314952727547,0.7157634787869948,0.015086409387920044,0.9720665962653776,1.398678517877142,1.4756749449841315,0.6757274618006842,0.3003252802687585,0.49974867591266914
55717-cmaes-overall-it01-cand04,1,7,-1368799.2495,-1244210.5,15821.5,-622645.0,11.9499,59.7495,0.800794915414024,0.1930224081212283,0.1309995970067042,0.277585117820377,0.005629472518580093,0.8958553170177546,2.7962716757116444,0.5628905712447941,0.5901669606791158,0.014018047842765353,1.115499534187143,1.6067369934504372,1.4439620690843213,0.7051602988613694,0.287596921869842,0.48904478105820115
55717-cmaes-overall-it01-cand03,1,8,-1369061.109,-1244526.0,15618.0,-622374.0,12.0618,60.309,0.8102971837532942,0.19377192131412385,0.10957376235143337,0.21348851628428672,0.0066494769177036644,0.7645431483804253,2.793214149572012,0.5672355247588913,0.5850698570904903,0.026719016924702382,1.0055524217167229,1.7074203650765605,1.421449704489966,0.6820950408890982,0.267419759849965,0.42721985153060976
55717-cmaes-overall-it02-cand06,2,1,-1368297.885,-1243750.5,16281.5,-622416.0,12.837,64.185,0.8157290657453936,0.16551732603178373,0.12611478107034418,0.2460315479652932,0.003685416406140146,0.8443078390599308,2.717294278785196,0.5839033331622459,0.6251319953029268,0.012236931043916884,1.00598549365378,1.6834795888145377,1.4255786442905218,0.6175211099501078,0.28947738948154,0.4960186131258508
55717-cmaes-overall-it02-cand02,2,2,-1368332.45175,-1243816.5,16215.5,-622270.0,12.390350000000002,61.951750000000004,0.7986228086517747,0.16474575051805285,0.11306427696228859,0.2610050588565744,0.005015467386929106,0.8407568620797855,2.726424093568283,0.5756399242325765,0.5639228112572192,0.020152614893776018,1.0510115000235178,1.821896612966674,1.377497563022443,0.5869563251641035,0.24671365544824933,0.41684272909711506
55717-cmaes-overall-it02-cand04,2,3,-1368403.20025,-1243882.0,16150.0,-622303.0,12.120049999999999,60.600249999999996,0.7947613848382037,0.18905732257968663,0.10716565778928834,0.2699934841253974,0.004762698994920339,0.8574692818441022,2.8699281281717886,0.5824766731980333,0.5778049345141812,0.011121189114938566,1.075550176981161,1.729456702204611,1.4600384226511087,0.7510058722997744,0.2749357267535312,0.5889767790756465
