session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
0,-2,14960.5,6967.0,7993.5,1.4713609745746097,0.9984681298330114,0.6843281174972812,0.9963980620859231,0.7870328570773286,0.995028027201053
1,-2,16556.0,7730.0,8826.0,1.7056620594901206,0.9973362374300823,0.7913793262377933,0.9983067602712837,0.9142827332523273,0.9912403793872875
2,-2,15398.0,7571.0,7827.0,1.501064496478645,0.997562634330904,0.7326754519747545,0.9971123110320008,0.7683890445038905,0.9965153335376744
3,-2,15555.75,8476.0,7079.75,1.5208246386822464,0.997499223716667,0.8382880421828804,0.997928740366121,0.6825365964993659,0.9925178934108262
4,-2,15749.75,8145.0,7604.75,1.5328458353594583,0.9937580634044151,0.8227508677575087,0.9952497390327536,0.7100949676019497,0.9865686903067065
5,-2,15889.0,7383.0,8506.0,1.6281436589584366,0.9988828590301254,0.7667782604757826,0.9965856586160529,0.861365398482654,0.9960578742730738
6,-2,15953.5,8723.0,7230.5,1.5679872420168723,0.9967375165293526,0.8504349258743492,0.996303290585857,0.7175523161425231,0.9890847805553888
7,-2,13407.0,6582.0,6825.0,1.332325097967251,0.9981785887211576,0.6613263874332639,0.9972897736506408,0.6709987105339871,0.9965222306795191
8,-2,16509.5,7485.0,9024.5,1.5765424689514247,0.9969798743519127,0.7186599551205995,0.9973887954724482,0.8578825138308251,0.9952476748996595
9,-2,16473.0,8416.0,8057.0,1.6783116315941162,0.9967011027798104,0.8306287247842873,0.9965894037104527,0.847682906809829,0.9938783714000702
10,-2,14209.0,7077.0,7132.0,1.3976602849031028,0.9948704416098646,0.7049845741198457,0.996631677573236,0.6926757107832571,0.9873163414187399
11,-2,16155.5,8247.0,7908.5,1.5377472462129724,0.995961446307654,0.794863196506632,0.9927195354508495,0.7428840497063405,0.9968280088475205
12,-2,15402.0,7933.0,7469.0,1.6201200621087006,0.9977324848051607,0.8288538166105381,0.9975757757975847,0.7912662454981625,0.9967268243600191
13,-2,15078.5,8282.0,6796.5,1.5173572622005727,0.9956543617225865,0.8519788287897883,0.9968270352761498,0.6653784334107843,0.9843735362893837
14,-2,14694.0,7458.0,7236.0,1.4023067689930677,0.997952859909416,0.7407592853795929,0.9969292010396007,0.6615474836134748,0.9906022986710332
15,-2,17191.75,7211.0,9980.75,1.6619866290613663,0.9972874539578063,0.7313068646690687,0.9979136221042807,0.9306797643922976,0.9924166482454498
16,-2,15887.0,7688.0,8199.0,1.595785809068358,0.9980082558779066,0.7931525430595254,0.9947154707927479,0.8026332660088327,0.9964049127658641
17,-2,16200.25,7011.0,9189.25,1.620536594943866,0.9991394825277857,0.6976576429125765,0.9978638809876056,0.9228789520312896,0.9969115072850457
18,-2,15840.5,6779.0,9061.5,1.5971915046914151,0.9977501655961998,0.6875660534276605,0.995094067689521,0.9096254512637545,0.997380414544382
19,-2,13843.75,7797.0,6046.75,1.4032922716789227,0.9905257658321537,0.7904918686709187,0.9980540595786203,0.612800403008004,0.9631465069516774
20,-2,14919.0,7450.0,7469.0,1.5671180389656805,0.9947383141215237,0.802076909284769,0.9925143219328293,0.7650411296809113,0.9926567464191425
21,-2,14129.5,7184.0,6945.5,1.43450599298906,0.9959785662606884,0.7113687926436879,0.9966629121706273,0.723137200345372,0.9812302027128085
22,-2,14213.75,6968.0,7245.75,1.4244447201274473,0.9976217180806931,0.6937178608511786,0.9970894711602656,0.7307268592762686,0.9898103535329144
23,-2,15901.75,6990.0,8911.75,1.5853821638268217,0.9964788380493932,0.708908296059083,0.9881665788715824,0.8764738677677387,0.9982157493667565
24,-2,16122.0,8004.0,8118.0,1.6181408490084086,0.9992789402974441,0.8059978880419789,0.9976429741718379,0.8121429609664296,0.9976227413990706
25,-2,15401.0,7583.0,7818.0,1.5069605372991053,0.9983155203956005,0.7268152091121521,0.9943693811907524,0.7801453281869533,0.990721918026359
26,-2,15763.0,7762.0,8001.0,1.5820948287574483,0.9967663248517077,0.7855846629678467,0.9930163632269609,0.7965101657896017,0.9951979021167096
27,-2,14618.25,7490.0,7128.25,1.400450092437501,0.9962051560086718,0.7371109912411099,0.9937524027380106,0.6633391011963911,0.9717415955627179
28,-2,16361.0,7552.0,8809.0,1.5884903207039032,0.997031643540233,0.7608501714545017,0.9982135563334006,0.8276401492494015,0.9896751140555545
29,-2,17972.0,8202.0,9770.0,1.7977443206864432,0.9915671705447242,0.8382696091866961,0.9981790700354676,0.9594747114997472,0.9710928821541701
30,-2,16432.0,7940.0,8492.0,1.582119699488197,0.9975244470279648,0.7510488893384889,0.9952000853300434,0.8310708101497081,0.9954199163726557
31,-2,15317.0,7399.0,7918.0,1.552334784610348,0.9951176369644439,0.757018403140184,0.9925960186941291,0.7953163814701638,0.9948922102067206
32,-2,15304.0,8107.0,7197.0,1.5129984552534845,0.9957029745306442,0.8182673923726739,0.9975089108764371,0.6947310628808107,0.9716375304431913
33,-2,15679.0,7221.0,8458.0,1.4891945705984457,0.9951659176894425,0.6590098733060987,0.9860723231164066,0.830184697292347,0.9967139852617698
34,-2,16344.75,7860.0,8484.75,1.6175399438633995,0.9989990428001374,0.8250794190067942,0.9957769995696125,0.7924605248566052,0.9952379431778289
35,-2,14449.5,6965.0,7484.5,1.4401232410077325,0.997809278984544,0.6749321058893211,0.990732962020087,0.7651911351184113,0.9917354857365339
36,-2,14896.0,6929.0,7967.0,1.5151743469217436,0.9983415376739977,0.6881807742178078,0.9987837814024371,0.8269935727039357,0.9931290565046375
37,-2,16024.5,7724.0,8300.5,1.6304777346912773,0.9990506346665651,0.7814481371664814,0.9979116225166604,0.849029597524796,0.998421544086178
38,-2,16101.75,8437.0,7664.75,1.5940994944024949,0.9969959897430131,0.8526442228084422,0.996503956523354,0.7414552715940527,0.9938869511272321
39,-2,16742.5,8134.0,8608.5,1.7036951550329515,0.999041558267794,0.846816596828166,0.9958191052439199,0.8568785582047855,0.9903636348739923
40,-2,15545.75,7564.0,7981.75,1.5446012438945125,0.9985031642482038,0.7820627844506278,0.9975992661097429,0.7625384594438845,0.9905413395257056
41,-2,16677.0,7701.0,8976.0,1.7080764249752642,0.9962848166369523,0.7602313481643135,0.9943944256514103,0.9478450768109508,0.9866329531759191
42,-2,16666.0,8362.0,8304.0,1.6393789473152895,0.998465197446327,0.8096481334944813,0.9963395722823014,0.8297308138208082,0.9922127239911623
43,-2,14746.5,7441.0,7305.5,1.4783554841020548,0.9977006760256171,0.7526013854180138,0.9954965044801476,0.725754098684041,0.9974037077035384
44,-2,14033.0,6554.0,7479.0,1.3736615489801154,0.9984276156873828,0.650954103371541,0.9955416758575656,0.7227074456085745,0.9961587403610389
