candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,CLASS:TomatoesBot.ALPHA_BLEND_WEIGHT,CLASS:TomatoesBot.FAIR_WALL_WEIGHT,CLASS:TomatoesBot.FAIR_MICRO_WEIGHT,CLASS:TomatoesBot.FAIR_REGRESSION_WEIGHT,CLASS:TomatoesBot.FAIR_ALPHA_WEIGHT,CLASS:TomatoesBot.INVENTORY_SKEW,CLASS:TomatoesBot.BASE_QUOTE_EDGE,CLASS:TomatoesBot.BASE_TAKE_EDGE,CLASS:TomatoesBot.FIT_THRESHOLD,CLASS:TomatoesBot.TREND_EDGE_THRESHOLD
v51-1-cmaes-baseline,-1,0,26518.39225,24153.0,9284.0,11919.0,3.6815499999999997,18.40775,0.28,0.44,0.2,0.1,0.34,0.045,2.05,0.82,0.42,0.95
v51-1-cmaes-it00-cand00,0,1,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.29273577744861223,0.40795218418332396,0.21278525289935635,0.11281584661244026,0.3470228898388242,0.04758775524996697,2.029828199011173,0.8455282710965344,0.37690908549082064,0.9546728771191355
v51-1-cmaes-it00-cand01,0,2,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.2621748415546403,0.4049663747156283,0.19230837502544834,0.09297611425249976,0.3472281172610015,0.044213705805473826,2.070884414812832,0.8759905209903636,0.4350342867055975,1.0282305313989246
v51-1-cmaes-it00-cand02,0,3,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.29635581977467007,0.42535285308684573,0.16819421991704459,0.13095347756727685,0.30158271393416103,0.03730478211928937,2.0101724210577525,0.8510513422527903,0.40396150044098844,0.9933825061951362
v51-1-cmaes-it00-cand03,0,4,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.26910897924449506,0.4573633610631411,0.20177463236429266,0.06514312622834724,0.3383735211387138,0.04553156937740015,2.0477436719037487,0.8144445728610487,0.42152427535260756,0.9833609007056873
v51-1-cmaes-it00-cand05,0,5,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.29314835338069095,0.4567104607319344,0.18783766357917425,0.06,0.3375538739277021,0.046064404735432114,2.0194468779811876,0.8036393973654944,0.4281439160428633,0.9135625747949363
v51-1-cmaes-it00-cand04,0,6,10393.034249999999,10165.0,-4704.0,3139.0,79.95315,399.76574999999997,0.2680520958142608,0.4846324829489177,0.2109339706499769,0.10361260506259942,0.3278704818580106,0.04188345807778064,2.0299014699081632,0.8530858401328887,0.4322132776022339,0.9990572900824298
v51-1-cmaes-it00-cand06,0,7,10393.034249999999,10165.0,-4704.0,3139.0,79.95315,399.76574999999997,0.2906123853094155,0.4497883887121734,0.21019000200708518,0.13740671866180634,0.3327364048841806,0.0479243753997465,2.031696035506652,0.8126284338293228,0.41512043710159324,0.9969674176229998
v51-1-cmaes-it00-cand07,0,8,10390.63475,10163.0,-4706.0,3137.0,79.95304999999999,399.7652499999999,0.277882279394495,0.46818093988736426,0.21266766777182003,0.09256771829572877,0.31437240951810524,0.043395936617158626,2.0111363294760367,0.7742105709996284,0.40443902517079183,0.8680893375863827
v51-1-cmaes-it01-cand00,1,1,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.28917285290868244,0.4411440737503559,0.2011861237838569,0.06744414971096457,0.3599033029933473,0.052983003376151076,2.076111158284263,0.852174265902957,0.3785564776876238,0.9677428814841312
v51-1-cmaes-it01-cand02,1,2,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.28499548687419823,0.42605531820601533,0.17691310191796822,0.10356028357220134,0.316339681516611,0.046524593175099827,2.0364828804625796,0.8085432194008877,0.3932310439102601,0.9016508548990041
v51-1-cmaes-it01-cand03,1,3,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.2535618676612717,0.4284428649386442,0.2054112674423363,0.08520085684212128,0.3833057089098732,0.041273225654468955,2.0007566914996624,0.8432806723317621,0.4095546515154405,0.9743171540226488
v51-1-cmaes-it01-cand04,1,4,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.29282391348992437,0.4248357690818419,0.20423741579133606,0.09708974276287063,0.3529344677722509,0.03292739893012726,1.9851836706445625,0.8005253400892949,0.37717541355609197,0.9546132171193006
v51-1-cmaes-it01-cand05,1,5,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.26810064513327087,0.4107111026219071,0.1872331427652923,0.08886984412068853,0.34073842918669733,0.05040662658953948,2.0748415814027084,0.8350986205476232,0.40961398930573334,0.995189791814939
v51-1-cmaes-it01-cand07,1,6,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.2911191601676722,0.43201632953754937,0.21251264832724603,0.08087579575857928,0.3387067437631763,0.04203659909680278,2.066572585356945,0.8653970701288206,0.4188833534979479,1.013099129205004
v51-1-cmaes-it01-cand01,1,7,10393.034249999999,10165.0,-4704.0,3139.0,79.95315,399.76574999999997,0.2844233944935676,0.4511287405358021,0.18883189048637422,0.12657619967977515,0.37792251302689406,0.04522028274611591,2.108820424229923,0.8632681951610485,0.4087357181539101,0.9822950698726584
v51-1-cmaes-it01-cand06,1,8,10390.63475,10163.0,-4706.0,3137.0,79.95304999999999,399.7652499999999,0.26833717445904115,0.44119648869886285,0.19477960887726536,0.11712426563909498,0.3508872178306541,0.04797353143614985,2.0452567437168434,0.8954635990803862,0.41547847498382606,0.9439014739234408
v51-1-cmaes-it02-cand00,2,1,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.30155134954752516,0.4220212375950821,0.20237686708984726,0.06296615395317401,0.28965159978745736,0.052096164581496004,2.08350214765909,0.8420791799538685,0.36555903671332707,0.9005118607911987
v51-1-cmaes-it02-cand01,2,2,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.26341847652077566,0.4287196523332693,0.16057057491618906,0.0814813357418164,0.35195884454879034,0.057240918822559016,2.061755757283828,0.8319886405887126,0.378874169080055,0.8715644582943473
v51-1-cmaes-it02-cand02,2,3,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.29770618153672423,0.4176761036234952,0.21068522792142508,0.08778795720082364,0.3186234599193406,0.05080757836636917,2.028392435315715,0.8334075240701403,0.41038431139100473,0.9596488947522016
v51-1-cmaes-it02-cand03,2,4,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.2849990602437565,0.42633965862046946,0.19602279982874105,0.09278886191016718,0.36761810227150954,0.05270483982015239,2.0598214703525914,0.8728449250044578,0.41757982544039324,0.9351170076646066
v51-1-cmaes-it02-cand04,2,5,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.262876940532733,0.41882623557386045,0.20633337106504687,0.08140258062586192,0.36085981417145735,0.048327887275567534,2.078642363305796,0.8383293122909609,0.3983049581289669,0.9633174304497218
v51-1-cmaes-it02-cand05,2,6,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.26310188856501365,0.42841472509774436,0.1872326880739592,0.09595424838196825,0.33232864106670684,0.041631847757541994,2.022343869631266,0.8163958158348,0.4152732811267882,0.9489906366232647
v51-1-cmaes-it02-cand06,2,7,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.28211130444767685,0.4088175626210068,0.19444004797099554,0.09479998958767842,0.3424667738509885,0.03985804635133534,2.093115326102263,0.8455127272125531,0.4046662122081808,0.853470286163793
v51-1-cmaes-it02-cand07,2,8,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.28419455056467535,0.4335101338113331,0.18898314990195836,0.09667067419860936,0.37018977168653827,0.04701298614767464,2.07820252599234,0.8421843874781719,0.41373554455473777,0.9384145959654803
v51-1-cmaes-it03-cand04,3,1,22098.842999999997,20619.5,5750.5,8903.0,60.251400000000004,301.257,0.3003989769844507,0.43538012005687826,0.21420341907574486,0.09212432277300767,0.3029551717155239,0.0440548135022611,2.06969114879126,0.8307944350880958,0.3879860880287153,0.8924622044209036
v51-1-cmaes-it03-cand00,3,2,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.29415985622307395,0.42227019909993174,0.17092385368451896,0.08025840840287315,0.3718731028216025,0.058144723098631376,2.0762882917971734,0.840459690701804,0.40638287676460827,0.9115704093903607
v51-1-cmaes-it03-cand01,3,3,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.26839858777565506,0.4012786621207862,0.2223568670675447,0.08669801958906367,0.3629467417522408,0.049983721465979625,2.0751869221671218,0.861385564096576,0.422876569557062,0.9345445242606731
v51-1-cmaes-it03-cand02,3,4,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.27404863805639273,0.4305215296185044,0.2122793400830243,0.06568292782911343,0.3441351871331593,0.04772681598568672,2.0483233502135447,0.8626419170071056,0.3899965854595267,1.0435794525365059
v51-1-cmaes-it03-cand03,3,5,18095.63825,17273.0,2404.0,6112.0,79.95235,399.76175,0.3061018135747629,0.41391990694323616,0.1686912657167033,0.07830811467237243,0.310125755972953,0.048133389412413914,2.0337428905231043,0.8351212390071824,0.3951026816583461,0.983603883887432
