candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,EMERALDS.REFERENCE_WEIGHT,EMERALDS.MID_WEIGHT,EMERALDS.INVENTORY_SKEW,EMERALDS.SOFT_LIMIT_RATIO,TOMATOES.BASE_TAKE_EDGE,TOMATOES.BASE_QUOTE_EDGE,TOMATOES.SOFT_LIMIT_RATIO,TOMATOES.ALPHA_EDGE_SCALE,TOMATOES.RANGE_RESERVATION_BIAS,TOMATOES.ALPHA_BLEND_WEIGHT,TOMATOES.FAIR_ALPHA_WEIGHT,TOMATOES.RANGE_ALPHA_DAMP,TOMATOES.CONFLICT_ALPHA_DAMP,TOMATOES.MOMENTUM_ALPHA_DAMP,TOMATOES.POSITION_ALPHA_DAMP_START,TOMATOES.POSITION_ALPHA_DAMP_END
v39_2-cmaes-overall-baseline,-1,0,33979.045750000005,30950.0,16059.0,15464.0,12.75085,63.75425,0.8,0.2,0.0328922991,0.6357999832,0.78,2.68,0.56828726,1.4153631,0.26486122,0.28,0.42,0.35,0.45,0.7,14.0,28.0
v39_2-cmaes-overall-it00-cand03,0,1,-1367975.497,-1243486.0,16354.0,-622136.0,12.459399999999999,62.297,0.8122132776022339,0.22452864504121497,0.036836805114207276,0.6608656742979016,0.7617564953687613,2.569311426952858,0.5658411339277021,1.4260071473543212,0.24958465899059387,0.26363939736549447,0.4362878320857265,0.3044532184936704,0.47653096327353883,0.7244709717804334,14.764250150531387,31.36660467956257
v39_2-cmaes-overall-it00-cand07,0,2,-1368131.02325,-1243602.0,16174.0,-622315.0,13.20465,66.02325,0.8053057753751854,0.17949379980843372,0.046789554810673574,0.6054345030779416,0.7402117144044255,2.7019222568427956,0.5660138105417354,1.4296265175261231,0.27727933289777684,0.27183544137162174,0.42808582224511355,0.3325520796778267,0.48355258636508314,0.539662812956195,11.330500414470752,25.71857883577395
v39_2-cmaes-overall-it00-cand01,0,3,-1368241.44,-1243714.0,16062.0,-622317.0,12.808,64.03999999999999,0.8104422074064161,0.23732701399357573,0.037402585111679265,0.6944728817491934,0.8045337296620051,2.6433821327171145,0.5364814799170445,1.4772700551345537,0.226443933934161,0.2222858658946703,0.38017242105775273,0.40175223708798397,0.4099037511024711,0.7542281327439204,13.183173443337129,29.562702495682704
v39_2-cmaes-overall-it00-cand04,0,4,-1368382.84,-1243843.0,16061.0,-622379.0,12.808,64.03999999999999,0.7927364048841806,0.2146218769987325,0.030146704425997827,0.6284284170293228,0.7726806556523899,2.73870927202875,0.566169539394495,1.4717249797747285,0.27752888777182,0.26885157744359317,0.3687448190362104,0.3299492077144828,0.40142041184504623,0.6236842849993807,12.832926887809391,24.314020191387225
v39_2-cmaes-overall-it00-cand05,0,5,-1368488.7502499998,-1243933.0,15971.0,-622467.0,12.47005,62.35025,0.8084215377828131,0.21481572447778594,0.03312037143641229,0.5747356297362377,0.811456244031501,2.783346988347811,0.5856388714422194,1.4470947778056649,0.23407207337217606,0.2854866069080075,0.4264452380666131,0.41804759313684436,0.41867298075525905,0.76642542382233,17.03691632419571,28.046274861156423
v39_2-cmaes-overall-it00-cand02,0,6,-1368503.55725,-1243963.5,15812.5,-622383.0,12.69145,63.45725,0.8017746323642927,0.16514312622834726,0.03240435544161412,0.6397867535305011,0.7783077539278118,2.670740954768415,0.5698115353526075,1.4487240007056874,0.2529133158142608,0.3,0.44186794129995377,0.3590315126564985,0.4196762046450264,0.6610432259722581,13.24630512155613,29.98515040797332
v39_2-cmaes-overall-it00-cand00,0,7,-1368524.00025,-1243966.5,15745.5,-622425.0,14.500050000000002,72.50025000000001,0.8127357774486123,0.16795218418332397,0.0367278749698069,0.6550237531186603,0.7905343347582363,2.7123469406245873,0.5582013595055865,1.449400794795379,0.22177030549082066,0.28350465783935164,0.3843496831092806,0.2624159367890707,0.43077093756362084,0.6824402856312494,14.542108794575112,27.64616761246322
v39_2-cmaes-overall-it00-cand06,0,8,-1368613.7495,-1244052.5,15787.5,-622450.0,14.2499,71.2495,0.8363974483319792,0.22471860546354316,0.03198425944169635,0.6528210703710133,0.7857732762221002,2.6701798219263266,0.5429338677746179,1.416128971472785,0.2386367300762732,0.2910604220914366,0.408553993068781,0.30262251764389686,0.40677553170897307,0.6218336307196279,11.708040643037195,27.91340427995222
v39_2-cmaes-overall-it01-cand00,1,1,-1367933.3702500002,-1243421.0,16355.0,-622238.0,12.954049999999999,64.77024999999999,0.7776833919346504,0.2011414379252307,0.031255585787839664,0.6058985239144121,0.754223586480811,2.614869053932684,0.5663757784098448,1.4673955005886339,0.277027559820325,0.27620551670717436,0.4187738600571908,0.38138572139657023,0.4270874277003218,0.7363374683979589,13.386219144087972,30.11117925835115
v39_2-cmaes-overall-it01-cand07,1,2,-1368026.66,-1243526.0,16378.0,-622200.0,12.132,60.66,0.8125282803183087,0.19325719964957488,0.02739579615559519,0.6272148583029341,0.8206302742347785,2.7951637041635697,0.577958050031296,1.4297037566664557,0.2757268744536761,0.2538836684545752,0.3890062654518303,0.23564152687300477,0.5205766991197601,0.6902972917206531,15.919917987319446,29.047927565494778
v39_2-cmaes-overall-it01-cand01,1,3,-1368083.301,-1243559.5,16216.5,-622291.0,13.1202,65.601,0.8125098844446789,0.21992914296974647,0.03514664797665312,0.7158030127823964,0.777461269083864,2.6343889588831755,0.5751078117769609,1.4273647470218265,0.27357125319760073,0.24099116425086398,0.41915077597592676,0.3050570565691011,0.48184250731516975,0.7715712492595036,14.323683753520063,31.297202902909167
